"lab_id","slug","declared_topic","actual_topic","lab_type","difficulty","execution_mode","cloud_requirement","state_requirement","current_status","readme_code_consistent","tests_present","tests_meaningful","solution_leakage","bootstrap_required","known_defects","recommended_action","phase13_starter_verified","phase13_solution_verified","phase13_reset_verified","phase13_release_status"
"01","lifecycle-cli-broken","Terraform CLI and prevent_destroy","Local terraform_data lifecycle protection verified by an isolated destroy plan","authoring-local","easy","local-test","No credentials; built-in terraform provider only","temporary verifier state","genuine starter","yes","yes","yes","no","no","Phase 5 pilot quality gate passed; no known default-path defect","Preserve the deterministic lifecycle gate and Starter Standard v1 contract","yes","yes","yes","release-ready"
"02","dynamic-config-broken","Dynamic configuration","Local catalog refactor covering stable iteration, conditional records, tag precedence, and map outputs","authoring-local","medium","local-test","No credentials; built-in terraform provider only","none","genuine starter","yes","yes","yes","no","no","Phase 6 gates passed; no known default-path defect","Preserve the deterministic map/filtering gate and Starter Standard v1 contract","yes","yes","yes","release-ready"
"03","state-import-moved-broken","State import and moved blocks","Two keyed local identities imported as a collection then moved into matching module instances","state-refactor","hard","local-state","No credentials; HashiCorp random logical provider only","seeded isolated import and learner state","genuine starter","yes","yes","yes","no","yes","Phase 11 gates passed; exact dual imports, move mappings, identity continuity, zero create/delete refactor actions, final no-op, and reset were reproduced","Complete; preserve collection import and per-instance move verification","yes","yes","yes","release-ready"
"04","remote-state-backend-broken","Remote state and backend rules","Protected local producer consumed through terraform_remote_state plus an offline optional S3 backend boundary","backend-remote-state","medium","local-state-fixture","No credentials by default; optional real S3 init excluded","isolated producer and consumer local state","genuine starter","yes","yes","yes","no","yes","Phase 11 gates passed; backend negative control, exact cross-stack values and addresses, final no-op, and reset were reproduced","Complete; keep S3 initialization optional and producer/consumer roots separate","yes","yes","yes","release-ready"
"05","workspaces-cross-stack-broken","Workspaces and cross-stack data flow","Dev/prod producer and consumer workspace states with matching remote-state routing and a prod guardrail","workspace","medium","isolated-local-workspaces","No credentials; built-in terraform provider only","lab-owned dev/prod producer and consumer workspaces","genuine starter","yes","yes","yes","no","yes","Phase 11 gates passed; exact workspace sets, state addresses, matching data flow, no destroy, final no-op, prod rejection, and reset were reproduced","Complete; preserve runtime-copy workspace isolation and owned-name reset contract","yes","yes","yes","release-ready"
"06","providers-alias-auth-broken","Providers aliases and auth","Root required provider; aliased data-source routing; and portable authentication boundary","aws-mock","medium","aws-mock","No credentials; AWS schema download/cache required","none","genuine starter","yes","yes","yes","no","no","Migrated in Phase 9; starter routes both reads through default provider and pins a missing profile; mock provider identities plus static auth/requirement checks verify the correction","Complete","yes","yes","yes","release-ready"
"07","validation-checks-tests-broken","Validation checks and tests","Incomplete local validation; precondition; and check conditions exercised by four Terraform Test runs","terraform-test","medium","local-test","No credentials; built-in terraform provider only","test-managed state","genuine starter","yes","yes","yes","no","no","Phase 5 pilot quality gate passed; no known default-path defect","Preserve all four behavioral runs and keep canonical expressions off the starter branch","yes","yes","yes","release-ready"
"08","iam-ec2-broken","IAM chain and EC2","Mocked IAM trust/policy/attachment/profile-to-EC2 dependency chain","aws-mock","medium","aws-mock","No credentials; AWS schema download/cache required","none","genuine starter","yes","yes","yes","no","no","Migrated in Phase 9; starter breaks role attachment and EC2 profile links; three tests verify exact policies, every reference, alternate naming, and invalid input without AMI lookup","Complete","yes","yes","yes","release-ready"
"09","security-group-rules-broken","Security groups and separate rules","Mocked SG shell with stable independent ingress and all-protocol egress resources","aws-mock","easy","aws-mock","No credentials; AWS schema download/cache required","none","genuine starter","yes","yes","yes","no","no","Migrated in Phase 9; starter creates zero ingress instances and TCP-only egress; three tests inspect exact independent rule keys/content, empty ingress, and invalid ports","Complete","yes","yes","yes","release-ready"
"10","module-composition-broken","Module composition and output wiring","Local root composition over protected naming, identity, and compute child-module contracts","authoring-local","medium","local-test","No credentials; built-in terraform provider only","none","genuine starter","yes","yes","yes","no","no","Phase 6 gates passed; no known default-path defect","Preserve incomplete root wiring and exact cross-module behavioral tests","yes","yes","yes","release-ready"
"11","import-moved-refactor-broken","Import moved blocks and refactor","Two-stage local random_id import followed by an address-preserving child-module move","state-refactor","hard","local-state","No credentials; HashiCorp random logical provider only","seeded isolated import and learner state","genuine starter","yes","yes","yes","no","yes","Phase 5 pilot quality gate passed; exact addresses, no-op plan, aggregate seed, and reset were reproduced","Preserve separate import/refactor stages, exact address assertions, and reset/repeatability proof","yes","yes","yes","release-ready"
"12","remote-state-backend-rules-broken","Remote state consumer and backend rules","Caller-selected local producer state; consumer-owned state boundary; and separate optional S3 initialization inputs","backend-remote-state","medium","local-state-fixture","No credentials by default; optional real S3 init excluded","isolated producer and consumer local state","genuine starter","yes","yes","yes","no","yes","Phase 12 gates passed; starter uses copied dev values and mixes an environment key into the static backend block; dev/prod state selection, exact addresses, actions, no-op, and reset were reproduced","Complete; preserve consumer-focused multi-producer selection and backend separation","yes","yes","yes","release-ready"
"13","workspaces-guardrails-broken","Workspaces and environment guardrails","Workspace-selected local deployment settings with independent production capacity and approval guardrails","workspace","medium","isolated-local-workspaces","No credentials; built-in terraform provider only","lab-owned dev/staging/prod workspace state","genuine starter","yes","yes","yes","no","yes","Phase 12 gates passed; starter hardcodes dev and leaves a permissive precondition; exact workspace settings, state addresses, no destroy, final no-op, both prod failures, and reset were reproduced","Complete; preserve workspace-only scope and dual production guardrail proof","yes","yes","yes","release-ready"
"14","provider-alias-modules-broken","Provider aliases through modules","Root-to-child default and aliased provider mapping with protected configuration_aliases","aws-mock","medium","aws-mock","No credentials; AWS schema download/cache required","none","genuine starter","yes","yes","yes","no","no","Migrated in Phase 9; starter maps both child provider names to root default; protected child plus distinct mock results verify actual module provider mapping","Complete","yes","yes","yes","release-ready"
"15","s3-versioning-lifecycle-tags-broken","S3 versioning lifecycle and tags","Mock-planned keyed buckets with conditional versioning and lifecycle; layered tags; and exact map outputs","aws-mock","medium","aws-mock","No credentials; AWS provider schema only","none","genuine starter","yes","yes","yes","no","no","Migrated in Phase 10; starter over-applies both optional resources; reverses tag precedence; and returns lists; tests cover exact keys; settings; days; maps; boundary; and invalid retention","Complete","yes","yes","yes","release-ready"
"16","filtered-foreach-outputs-broken","Filtered for_each and map outputs","Local enabled-service filtering with stable resource keys and exact map outputs","authoring-local","medium","local-test","No credentials; built-in terraform provider only","none","genuine starter","yes","yes","yes","no","no","Phase 6 gates passed; Lab 15 duplicate removed from this lab","Preserve focused filtered-for_each scope and exact key/value tests","yes","yes","yes","release-ready"
"17","data-sources-cross-stack-broken","Data sources and cross-stack lookups","Local terraform_remote_state consumer with configurable producer fixture and normalized output contract","backend-remote-state","medium","local-fixture","No credentials or external provider","protected producer-state fixtures","genuine starter","yes","yes","yes","no","no","Migrated in Phase 10; starter keeps manually copied values and ignores the lookup path; tests cover primary and alternate producer boundaries plus invalid input","Complete","yes","yes","yes","release-ready"
"18","conditional-resources-broken","Conditional resources with count one and try","Local zero-or-one deployment marker with unsafe starter reads and protected one/try contract","authoring-local","medium","local-test","No credentials; built-in terraform provider only","none","genuine starter","yes","yes","yes","no","no","Phase 6 gates passed; no known default-path defect","Preserve unsafe direct-index starter and zero/one boundary tests","yes","yes","yes","release-ready"
"19","count-to-foreach-refactor-broken","count to for_each refactor","Three count-indexed local identities refactored to exact stable logical keys without replacement","state-refactor","hard","local-state","No credentials; built-in terraform provider only","seeded isolated count state","genuine starter","yes","yes","yes","no","yes","Phase 12 gates passed; exact 0-to-logs, 1-to-assets, and 2-to-archive mappings, zero create/delete, unchanged values, final keyed state, no-op, and reset were reproduced","Complete; preserve all exact per-instance mappings and old count fixture","yes","yes","yes","release-ready"
"20","external-data-shaping-broken","External data shaping with JSON and CSV","Provider-free JSON/CSV decoding, normalization, stable keys, and boundary fixtures","authoring-local","medium","local-test","None","deterministic input fixtures only","genuine starter","yes","yes","yes","no","no","Migrated in Phase 7; starter keeps positional app keys and raw CSV strings; protected tests verify exact maps, types, empty input, and zero boundary","Complete","yes","yes","yes","release-ready"
"21","dynamic-block-broken","Dynamic blocks","AWS security-group nested ingress generation with a mock provider","aws-mock","medium","mock-test","None; provider schema download only","none","genuine starter","yes","yes","yes","no","no","Migrated in Phase 7; starter retains static duplication; tests verify exact dynamic block count/content for default and alternate inputs plus source structure","Complete","yes","yes","yes","release-ready"
"22","create-before-destroy-broken","Create before destroy","Stateful local replacement ordering verified from plan JSON","authoring-local","medium","local-test","None","temporary verifier-owned state","genuine starter","yes","yes","yes","no","no","Migrated in Phase 7; starter plans delete-create; protected verifier proves real replacement and exact create-delete solution order","Complete","yes","yes","yes","release-ready"
"23","ignore-changes-broken","Ignore changes","Local-file drift ownership boundary with precise lifecycle scope","authoring-local","medium","local-test","None; local provider only","temporary verifier-owned state","genuine starter","yes","yes","yes","no","no","Migrated in Phase 7; starter ignores all fields; controlled state fixtures prove external permission drift is ignored while managed content drift is reconciled","Complete","yes","yes","yes","release-ready"
"24","sensitive-outputs-broken","Sensitive values and outputs","Runtime-only sensitive input; output metadata; CLI redaction; and safe diagnostic boundary","authoring-local","medium","local-test","None; built-in provider only","temporary synthetic plan only","genuine starter","yes","yes","yes","no","no","Migrated in Phase 8; starter has one raw-password debug exposure; protected verifier checks input/output sensitivity metadata, exact output set, safe diagnostic content, and CLI redaction without logging the probe","Complete","yes","yes","yes","release-ready"
"25","hcp-terraform-ops-broken","HCP Terraform operations","Scored HCP Terraform operating-model scenario covering run modes; dependencies; governance; permissions; cost; and approvals","conceptual","hard","local-scoring","No credentials; local Markdown scoring only","none","genuine starter","yes","yes","yes","no","no","Phase 5 pilot quality gate passed; scoring now reports per-decision choice and rationale status","Preserve explainable decision-point scoring and keep canonical choices off the starter branch","yes","yes","yes","release-ready"
"26","removed-blocks-broken","Removed blocks","One no-op address move plus one destroy-false state removal verified as an exact forget action","state-refactor","medium","local-state","No credentials; built-in terraform provider only","seeded isolated two-resource state","genuine starter","yes","yes","yes","no","yes","Phase 12 gates passed; starter withholds both transitions; plan JSON distinguishes moved previous_address/no-op from removed forget, rejects create/delete, and proves final state, no-op, reset, and repeatability","Complete; preserve the old two-resource fixture and exact forget versus move distinction","yes","yes","yes","release-ready"
"27","flatten-collection-broken","Flatten and merge collections","Nested app flattening; compound stable keys; and global/team/app tag precedence","authoring-local","medium","local-test","None; built-in provider only","none","genuine starter","yes","yes","yes","no","no","Migrated in Phase 8; starter keeps only one app per team and wrong tag precedence; tests verify exact keys, layered values, cross-team name reuse, empty teams, and duplicate rejection","Complete","yes","yes","yes","release-ready"
